"Anna","f"
"Martha","f"
"Frieda","f"
"Berta","f"
"Emma","f"
"Marie","f"
"Margarethe","f"
"Erna","f"
"Elsa","f"
"Elisabeth","f"
"Gertrud","f"
"Hertha","f"
"Käthe","f"
"Elisabeth","f"
"Hildegard","f"
"Ilse","f"
"Gertrud","f"
"Irmgard","f"
"Lieselotte","f"
"Elfriede","f"
"Ursula","f"
"Edith","f"
"Gisela","f"
"Ingeborg","f"
"Renate","f"
"Elke","f"
"Gisela","f"
"Sabine","f"
"Petra","f"
"Birgit","f"
"Ute","f"
"Angelika","f"
"Nicole","f"
"Anja","f"
"Claudia","f"
"Katrin","f"
"Susanne","f"
"Kathrin","f"
"Julia","f"
"Sandra","f"
"Nadine","f"
"Mia","f"
"Hannah","f"
"Lena","f"
"Sofia","f"
"Leoni","f"
"Emily","f"
"Lili","f"
"Michelle","f"
"Sophia","f"
"Thomas","m"
"Michael","m"
"Andreas","m"
"Peter","m"
"Frank","m"
"Uwe","m"
"Klaus","m"
"Stefan","m"
"Stephan","m"
"Jürgen","m"
"Jörg","m"
"Andreas","m"
"Markus","m"
"Christian","m"
"Oliver","m"
"Matthias","m"
"Torsten","m"
"Sebastian","m"
"Jan","m"
"Dennis","m"
"Thomas","m"
"Tobias","m"
"Alexander","m"
"Patrick","m"
"Marcel","m"
"Philipp","m"
"Alexander","m"
"Daniel","m"
"Dennis","m"
"Lukas","m"
"Finn","m"
"Leon","m"
"Niklas","m"
"Jannik","m"
"Ben","m"
"Luis","m"
"Maximilian","m"
"Felix","m"
"Leon","m"
